asv	SRR3426343	SRR3426353	SRR3426354	SRR3426355	SRR3426358	SRR3426359	SRR3426363	SRR3426364	SRR3426366	SRR3426369	SRR3426370	SRR3426374	SRR3426375	SRR3426377	SRR3426388	SRR3426393	SRR3426394	SRR3426398	SRR3426400	SRR3426410	SRR3426417	SRR3426418	SRR3426421	SRR3426432	SRR3426436	SRR3426437	SRR3426441	SRR3426442	SRR3426443	SRR3426447	SRR3426448	SRR3426452	SRR3426453	SRR3426454	SRR3426459	SRR3426460	SRR3426464	SRR3426465	SRR3426466	SRR3426470	SRR3426471	SRR3426477	SRR3426488	SRR3426489	SRR3426490	SRR3426494	SRR3426499	SRR3426512	SRR3426513	SRR3426521	SRR3426530	SRR3426531	SRR3426532	SRR3426536	SRR3426541	SRR3426543	SRR3426546	SRR3426547	SRR3426624	SRR3426664	SRR3426665	SRR3426667	SRR3426677	SRR3426684	SRR3426688	SRR3426799	SRR3426803	SRR3426804	SRR3426807	SRR3426810	SRR3426812	SRR3426838	SRR3426842	SRR3426871	SRR3426875	SRR3426876	SRR3426877	SRR3426878	SRR3426879	SRR3426880	SRR3426882	SRR3426883	SRR3426884	SRR3426885	SRR3426888	SRR3426889	SRR3426894	SRR3426895	SRR3426902	SRR3426936	SRR3426937	SRR3426947	SRR3427000	SRR3427001	SRR3427052	SRR3427060	SRR3427082
d824b98f50c632b8950a4f44688193f0	5	34	0	238	28	654	0	37	5879	0	406	864	466	2244	336	8	41	0	0	0	4	0	0	9	20	79	151	29	0	0	524	3	0	761	37	858	0	248	8	0	0	164	621	10	590	15	33	8	150	20	0	0	3054	40	11	3513	7	12	746	0	1744	0	90	8	51	1646	19	0	3	57	13	0	18	5	0	196	453	2191	65	144	0	0	0	4	0	282	21	28	0	0	1433	0	75	307	3	15	262
3c01838847b13fbac5470356599b29b5	553	275	301	504	785	125	13	0	276	42	8	0	37	0	0	77	19	41	0	0	14	347	1592	0	145	20	21	28	0	155	1037	247	0	44	4188	10	29	17	1587	516	5	6467	0	6702	0	0	0	6	151	72	159	0	70	15	0	0	25	10	0	11	0	118	252	346	64	0	102	54	154	0	0	9	24	452	106	844	12	0	0	0	170	0	0	0	0	0	112	27	1239	202	0	0	745	25	0	59	43
cf64308cf2c87a1ace6d81b6b879b3af	0	0	0	0	7	0	0	0	0	0	0	0	0	670	41	0	8	0	0	0	0	0	0	225	0	0	0	0	83	0	0	0	0	0	0	0	0	16	0	0	0	0	45	0	1570	0	6	0	0	0	0	0	0	0	80	16	8	73	41	0	1987	9	0	0	0	23	0	0	0	5	0	0	0	0	0	0	67	62	107	1077	0	9	4138	2216	0	0	0	2	0	0	0	12042	0	0	7170	0	0
ba9daca3e844f704ec43c6fd9e3ccc3c	8	437	26	19	1388	250	18	16411	370	49	4	484	45	0	0	1874	25	40	107	0	4	24	12	0	104	10	6	34	0	434	424	1595	0	0	21	0	232	3	622	148	0	169	0	0	0	112	0	0	17	39	0	0	255	17	0	0	15	0	0	69	0	0	114	39	6	0	188	0	0	0	5	3	20	16	0	97	21	0	0	0	86	8	0	0	4518	0	48	25	177	57	0	0	6	0	0	12	7
366fbedcfba164dccf634dd3ddb22006	664	71	43	1427	177	0	242	66	38	13	36	842	0	0	0	1671	111	35	22	106	59	78	2318	0	140	456	12	2095	0	119	49	290	14	25	53	26	0	9	1433	31	0	0	0	802	20	1643	0	167	0	286	20	492	0	1057	0	0	36	0	0	0	0	45	25	19	0	0	0	13	68	0	161	74	16	236	267	44	0	0	0	0	48	0	0	0	4635	0	952	0	286	32	0	0	3196	65	0	294	35
4a394d7ae6dc497d3fb08f398c1cf382	732	390	380	53	532	22	602	2280	143	74	178	254	81	0	0	265	175	85	141	135	108	171	351	0	332	1608	36	479	0	31	734	382	0	0	348	44	52	27	150	1209	113	87	0	394	0	2143	0	1051	86	132	256	29	19	348	0	0	167	12	0	253	0	144	408	615	134	0	104	34	353	0	199	429	98	576	512	748	105	0	0	0	375	122	0	0	387	40	344	35	772	128	0	71	1675	81	11	1275	76
b5a8f00fbcd5a503fd05620e20bbc86c	17	0	0	12	122	6	0	17	50	0	0	0	48	1349	1019	9	3	0	0	0	0	22	0	110	0	8	0	21	143	0	0	0	0	0	0	9	0	0	0	0	13	0	1284	0	0	0	1339	2	0	11	0	0	0	19	0	5035	0	0	2818	0	6927	0	0	6	0	344	0	0	0	504	0	0	0	0	0	186	3	48	53	5433	0	0	8	73	0	0	0	0	6	0	145	141	0	22	84	0	0
6bc1718fd4556305f87666d946ab159e	6	6195	35	39	1432	516	25	47	1452	22	4	4885	53	0	0	865	31	139	126	0	0	0	0	0	62	0	6	11	0	1271	425	960	0	21	37	5	320	0	1004	611	2	37	0	0	6	281	0	0	15	96	0	0	88	7	0	4	0	0	47	18	16	3	159	33	0	0	0	0	0	0	0	0	16	16	0	24	2	0	0	54	93	0	0	0	4967	0	5	4	0	13	19	0	4	0	4	56	0
0bd67edb7af1ba79aab18ba56d6d940a	0	0	3142	0	24	305	0	0	285	12	1223	21	11	0	0	0	59	0	373	0	0	0	192	0	0	0	55	0	0	0	11	0	6205	63	0	1573	0	1881	0	0	902	202	0	0	121	0	0	0	2087	0	0	13	320	4	9	0	0	5	0	0	0	83	0	0	1420	0	0	550	8	0	0	0	0	0	0	0	4018	0	0	0	0	508	0	0	0	0	0	342	0	0	0	0	0	230	0	0	32
91b487171625451f092d018b3c5cee68	0	0	81	72	11	21	405	5	40	0	90	0	70	0	0	303	61	0	10	0	767	19	187	813	250	481	0	0	169	0	1445	24	112	0	86	2177	396	266	29	25	359	66	10	9	2431	275	0	204	37	381	81	2035	6	0	0	0	223	0	0	0	0	73	517	139	956	0	4	687	48	0	87	40	153	155	138	145	240	0	0	0	19	185	59	0	383	812	652	19	1204	350	1973	223	1264	474	183	0	248
5c48f66a5294d6dc5cb8f7406db1bcee	0	187	988	12	0	169	0	0	61	0	2792	0	859	0	0	0	1266	50	815	13	13	1347	0	0	28	16	0	0	0	0	0	8	302	575	7	63	24	0	0	1193	0	434	0	5	1036	0	0	10	0	0	31	0	1168	0	0	0	32	0	0	13	0	0	0	155	617	0	0	226	50	0	25	82	0	38	21	0	1081	0	0	0	0	112	0	0	16	7918	9	119	6	411	58	0	0	181	0	16	783
d571aa7d3d99837182c2993630021208	23	0	122	144	108	0	8	0	103	15	171	0	409	0	2	0	461	35	328	114	397	477	10	0	73	313	0	428	0	0	760	50	215	433	72	47	0	110	237	193	475	0	0	53	131	1211	0	203	318	185	442	223	26	586	181	0	246	196	0	58	0	62	641	2933	73	0	78	0	588	0	1063	218	181	444	396	3786	579	0	0	0	173	1065	0	0	0	110	0	507	322	132	139	2	4	197	0	0	206
0c922d6d6a0e084e008f83d0b2ef69e5	0	63	168	117	602	314	0	0	134	20	57	0	63	0	8	0	59	922	824	181	34	350	65	8	157	1502	118	39	0	0	9	17	283	43	50	8	79	67	37	87	342	86	0	116	161	613	0	1233	162	201	224	278	367	76	0	4	243	4	0	522	0	556	3	681	892	7	33	45	164	0	1027	1413	24	319	586	92	171	6	0	0	1405	360	10	0	31	49	507	1387	508	412	34	51	159	34	9	1998	46
1c987483fc1d47c1b5a818b057794739	0	0	77	83	16	0	0	0	0	0	0	213	0	1845	222	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	71	0	0	0	10	0	0	0	0	60	5	0	188	0	20	0	11	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	10555	377	7	21	0	0	0	0	0	0	0	100	0	0	9147	0	0	727	19	0
9fd28100de4972ba46fe3772e7532b92	0	0	0	163	154	71	239	0	113	0	0	12	269	13	23	0	84	209	134	979	121	160	114	0	111	961	10211	336	0	0	88	0	479	398	36	542	17	1475	152	0	148	618	0	53	104	291	0	343	237	37	62	131	602	280	26	0	50	15	11	0	20	116	0	56	48	0	0	73	128	0	0	0	83	160	93	47	0	0	0	13	0	34	0	0	0	534	91	620	695	199	133	0	0	0	0	0	0
4c91c74087b85c6ff648c3cc16f2e17d	0	0	0	0	0	0	0	0	0	0	0	0	0	741	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	659	4	0	0	0	3327	0	0	0	12410	0	0	0	0	0	0	0	1116	1797	1245	0	0	0	9	0	0	0	0	0	0	0	49	0	0	27	0	0
d9c9cea151a7b25f7f8174554629932b	10	14	52	3	187	117	10	3922	0	265	17	15	0	0	14	72	0	7	82	21	22	54	39	0	20	8	11	113	0	130	288	2	27	0	7	0	3	0	15	0	4	38	0	0	9959	25	0	0	0	18	42	0	4	93	4	0	0	25	0	11	0	16	68	8	5	0	73	9	13	0	14	4	27	8	16	29	7	0	0	0	18	21	0	0	87	10	88	1330	544	7	3	0	3921	0	0	40	0
49b5bf50b5877f8b87bdd891f75d9cf6	10	0	0	62	21	0	0	0	0	0	0	0	9	467	696	25	0	0	0	0	0	0	0	0	0	0	90	267	34	0	62	15	0	13	0	10	0	22	0	0	8	0	656	0	0	0	186	0	13	18	0	0	0	247	73	1907	0	244	1611	0	1426	0	24	0	12	1994	0	0	0	2441	0	0	0	0	0	110	1132	581	1273	1748	0	16	836	706	0	3	0	49	0	0	150	236	1438	141	666	0	0
08dc21913d83314a3ffad8459545fb9e	0	13	725	0	0	267	0	0	99	0	0	0	938	0	0	0	286	40	211	0	0	582	43	0	0	0	0	0	0	10	0	0	536	0	89	1778	0	978	0	0	900	1906	0	0	367	0	0	0	25	0	230	6688	11	0	0	0	0	0	0	0	0	54	0	115	0	0	0	1072	0	0	190	239	0	0	0	0	1216	0	0	0	0	75	0	0	0	244	18	96	0	49	599	0	0	250	0	19	395
