ASV	SRR20752627	SRR20752628	SRR20752629	SRR20752630	SRR20752631	SRR20752632	SRR20752633	SRR20752634	SRR20752635	SRR20752636	SRR20752637	SRR20752638	SRR20752639	SRR20752640	SRR20752641	SRR20752642	SRR20752643	SRR20752644	SRR20752645	SRR20752646	SRR20752647	SRR20752648	SRR20752649	SRR20752650	SRR20752651	SRR20752652	SRR20752653	SRR20752654	SRR20752655	SRR20752657	SRR20752658	SRR20752659	SRR20752660	SRR20752661	SRR20752662	SRR20752663	SRR20752664	SRR20752665	SRR20752667	SRR20752668	SRR20752669	SRR20752670	SRR20752671	SRR20752672	SRR20752673	SRR20752674	SRR20752675	SRR20752677	SRR20752678	SRR20752679	SRR20752680	SRR20752681	SRR20752682	SRR20752683	SRR20752685	SRR20752686	SRR20752687	SRR20752688	SRR20752689	SRR20752690	SRR20752691	SRR20752692	SRR20752694	SRR20752695	SRR20752697	SRR20752698
962e3053077e6f4d5e34da5459c6d742	117	40	0	86	71	145	62	247	15	107	21	29	246	137	148	59	116	58	235	325	32	147	208	233	400	117	322	124	130	283	164	139	30	32	66	0	19	21	101	169	160	395	741	235	26	267	0	4712	28	137	24	0	23	28	152	0	148	0	18	99	130	639	287	83	9994	49
85195f84c6a9c7509b6ca54810811461	116	89	125	431	137	161	524	0	195	408	146	136	643	314	346	206	180	311	0	560	143	344	166	363	491	160	493	218	659	1822	890	7	0	173	62	8	69	234	105	1079	412	341	433	368	677	124	0	222	474	60	317	108	1491	3480	442	0	26	0	510	532	0	70	0	16	0	0
e9b7040e64b958b2eef60a9116d09727	1113	2498	312	435	1026	318	433	0	778	301	570	676	171	205	440	222	481	387	0	726	665	181	178	446	545	607	461	498	65	29	353	0	19	429	610	0	828	330	2886	374	160	372	332	141	0	384	0	0	139	61	19	213	0	0	8	0	0	0	0	5	8	0	0	0	0	0
4e131f40200a58bd82810cd340a2924e	372	156	324	131	31	5	39	0	310	1356	43	63	17	703	6	1291	290	1256	0	52	343	106	17	1253	1491	61	1442	53	2043	77	35	396	721	150	122	3	321	32	269	41	19	511	1053	139	42	343	0	0	42	44	88	3	10	0	11	0	15	13	465	3	289	2451	24	31	0	0
e420dd035ffa177b73bbbe2da11509aa	40	102	21	71	77	42	283	0	111	157	54	47	89	456	41	361	277	556	0	100	325	140	147	35	49	186	33	148	0	274	520	0	0	87	195	0	27	148	227	446	56	183	96	95	48	653	0	186	165	463	485	501	3017	3668	2665	0	43	0	78	2112	0	0	0	0	0	0
76ed6c3cb0b8c67b32f05ad658c4771e	175	209	146	147	71	346	244	0	186	95	96	74	460	197	84	108	164	209	0	269	222	199	55	249	200	80	242	77	37	75	134	0	0	297	181	0	217	151	128	132	44	129	377	137	479	103	0	61	217	231	1264	633	1095	77	3253	0	0	1304	1739	2872	0	0	0	6	0	0
a3adaff316a04dab4ce157699d736b5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	5604	0	0	0	0	0	0	0	0	0	0	12590	0	0	0	0	0	17	18	0	0	0	0	28	0	13	449	1142	14	0	0
b53922ef015c1a03fb7c5973047a88bb	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3778	227	0	0	1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	7	76	0	288	23	0	1704	5615	2447	4027	4	0
e81d419e2c4870003254c99d1f09cb56	170	172	144	190	81	146	481	0	195	302	300	258	564	311	300	0	478	281	0	323	764	377	194	217	287	190	271	154	186	95	136	20	0	131	83	0	167	254	13	119	48	61	127	157	1384	690	0	74	784	1067	900	304	95	367	42	0	16	28	39	32	829	448	267	2906	0	0
76e7cc0af56a8dbf7d017b63a630f7e0	728	317	169	503	216	133	453	0	194	375	156	192	473	266	480	150	542	269	2	347	730	315	218	468	528	197	604	202	205	441	214	163	36	285	357	5	256	776	234	254	88	115	372	413	302	189	411	903	374	541	198	388	1003	0	4	0	115	333	8	0	56	94	0	4	0	0
