asv	SRR2085804	SRR2085805	SRR2085806	SRR2085807	SRR2085813	SRR2085814	SRR2085819	SRR2085820	SRR2085821	SRR2085822	SRR2085827	SRR2085828	SRR2085831	SRR2085832	SRR2085833	SRR2085834
e231798eace7e94cd0c7f09d1506c4fa	0	0	155	0	0	0	0	0	35	0	0	0	0	0	0	0
de51704b98c6a86d4876176f11729d20	0	0	15	0	16	15	46	47	0	0	0	0	17	0	0	33
86b1a5c834a3a07c9ae841f41d5c93c3	0	0	0	0	18	13	25	21	0	0	40	33	12	26	0	0
52e6a13ade174fa6e88d529506d6a384	0	0	0	0	0	0	0	113	0	0	0	0	0	75	0	0
d8a6bbf1ac5098151580e512d969eec8	0	0	0	0	0	0	0	0	172	16	0	0	0	0	0	0
ed19357f584491134b9c3a9c01016434	0	42	0	77	0	0	0	0	0	0	0	0	0	0	68	0
77cc2c3f88b7a021a32c12abf35dcdbd	0	0	0	0	0	0	0	0	115	0	0	71	0	0	0	0
028b1417a52cc43f89791bdeebf19db5	30	69	0	0	0	0	0	0	23	0	0	24	0	0	0	36
cb7205ba5cb9537e1f1c878b8cfe7730	25	38	11	0	0	0	0	0	12	95	0	0	0	0	0	0
510ed8f28625858a3d34af45c17dce26	36	0	74	0	0	0	0	0	21	49	0	0	0	0	0	0
6428ed1d25d64af9f20b4287070290a9	47	40	0	0	0	0	0	0	0	93	0	0	0	0	0	0
05252c5142ac331a55dc800e2b24ca1f	0	0	75	0	0	0	0	0	23	0	82	0	0	0	0	0
c684ef9143654cd2bc17150996f0c0dd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0
704e450a100de7aa8158f62bb3a1540c	0	75	0	0	0	0	0	0	56	0	0	10	0	0	0	38
7c1b1bfd1383088c7f5147e6a188cd29	0	0	0	0	0	0	0	0	42	0	0	0	0	0	60	76
c2a15101915e1dec1f7df76d7c0c51d0	24	0	10	20	21	12	17	11	0	0	12	18	0	0	20	12
0a06fc0a22605936b44db8dd4f766015	0	0	33	0	40	0	29	0	0	0	17	0	0	0	56	0
71cd97894b1cba4bd249aba59eec8f65	0	0	0	0	0	6	0	169	0	0	0	0	0	0	0	0
b462812952203a35efff9d34467857d9	4	0	0	0	0	12	0	0	134	8	0	0	5	5	3	3
a6102ef6fa8c6658033e0baf6c35eece	66	70	38	0	0	0	0	0	0	0	0	0	0	0	0	0
e760e841fee29baffc04e164c0036c6b	8	0	54	67	0	0	0	0	45	0	0	0	0	0	0	0
2c85e964abca22d50377deac1c9217c9	0	8	59	44	0	27	0	0	16	4	0	16	0	0	0	0
6192dcc589f23bac967b1afa5aad3379	0	0	20	0	29	19	38	14	31	0	23	0	0	0	0	0
0f5d8d15df886b57fc55742f7608f2ad	0	0	0	0	22	0	58	93	0	0	0	0	0	0	0	0
ce031c3e6406643f2b992faa64154e48	0	0	0	0	0	0	0	19	64	43	0	0	0	0	0	47
0e28afc23617709beb9044bdff9d27a9	0	0	0	76	0	0	0	0	0	0	95	0	0	0	0	0
ea9c6537f1b9fc5f54a9db1111011e16	0	0	0	15	0	0	0	0	0	0	22	84	0	20	0	27
ebd6ac6b0bd01426ce5312671ad8b700	11	0	0	19	0	0	30	68	0	0	0	0	0	32	0	7
11ad4d1fec5242ad4b7bb67543de716a	0	0	0	0	0	0	0	108	0	0	0	0	0	59	0	0
1589eaf4f4b08ecec1e376872a9db243	26	28	25	86	0	0	0	0	0	0	0	0	0	0	0	0
832e930b63b2c7e1ae555ea0a75fec08	0	0	0	18	25	0	0	0	0	24	56	13	0	29	0	0
259643871d157ba5f2821f3d05620346	0	0	0	8	15	33	0	31	25	0	0	0	6	46	0	0
947c30e97f363d033b6de42a166c0b1d	0	0	0	0	0	31	91	0	0	0	0	41	0	0	0	0
4c691293bd82c1bdad05b7a3004aa048	47	0	0	27	0	0	0	0	75	0	0	0	0	0	0	13
641e562a1970959f82ac20ad2cae9a4c	75	34	0	0	0	20	32	0	0	0	0	0	0	0	0	0
94fc533da48f333760ad5a915a701b55	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c7b8d10484c8a54bb81b0af364f50f7c	87	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0
7c7c4a5dff6219f27ac58a3c2e3b91b6	0	20	28	0	32	0	14	22	0	0	0	27	14	0	0	0
025e1283373a49eece0f79ed0587394e	0	0	13	47	24	0	41	0	32	0	0	0	0	0	0	0
04232ee693a1832e600f4758a5eb4d06	0	0	138	0	0	0	0	0	0	0	0	17	0	0	0	0
3e1840756e8f4a39b4b06ae1ba6eaf5d	27	33	14	18	0	0	0	0	18	0	0	0	0	0	17	27
bb1fa058d75881e83568e2a4922e9e8b	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0
55a2f0b86bd00330aacc33b15920cc31	0	0	32	0	0	0	15	0	26	0	27	0	24	0	0	27
6b148cd6e0bcfdb038103aec1276e140	28	0	15	63	0	0	0	0	0	0	0	0	44	0	0	0
c0d270180df8d670f09b0e8ad5f5b2e9	39	0	48	0	0	0	33	13	17	0	0	0	0	0	0	0
531b6aae9fcce5f62c6759773621e668	0	0	95	0	0	25	0	0	0	0	0	0	0	0	0	30
3f4237620d479787b35ab13d97dfbd41	0	0	56	94	0	0	0	0	0	0	0	0	0	0	0	0
17f3bf854d48485cf9693768e811aa47	0	0	59	0	0	0	0	0	0	0	0	0	0	0	49	42
41395f8fb19d6f4b7afe108e2368e6bc	0	0	0	0	0	25	50	0	0	0	0	0	24	0	51	0
837cca32fd1a33c4f04b16826cbbe596	0	0	60	0	0	15	0	0	0	34	0	0	14	26	0	0
15c616d474fb7601ba05c7d42401e99b	0	0	14	0	0	7	13	0	52	0	0	23	40	0	0	0
0ae66e7ac0c6a87b650b26a1e8930189	0	54	0	23	0	0	0	0	71	0	0	0	0	0	0	0
58af959d5f370e4b06200000ca01dde7	0	67	0	0	0	0	0	16	0	0	0	34	0	0	0	30
0daeaea74cd973383867d522e249cfae	0	0	24	0	23	0	0	0	21	0	42	25	0	12	0	0
0bd450885c27f650bbc21454bbf346ce	69	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0
73fb1080cd9a384117283dc9d698ad78	0	0	0	0	0	0	75	0	0	58	13	0	0	0	0	0
329e803717a5e591848fc5f452dfc9e0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
919af0c3f9f15e405b8c7dfd785ca138	27	5	15	16	11	0	10	12	0	11	0	17	0	0	0	19
5be500ad84c34ba2011deb4ce6ef1f0d	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0
32ff0c877d5bf121c55838f6acc7e033	0	0	0	0	0	30	0	62	51	0	0	0	0	0	0	0
d74498e4177a69eafbf3a5b5b7c71b46	0	0	0	0	0	0	0	0	48	94	0	0	0	0	0	0
435f8720a602dc282f472498b3701afe	0	0	0	0	0	29	0	0	0	0	0	9	101	0	0	0
3706417231b182503854fee06d4f0146	0	0	34	0	0	0	0	0	0	0	0	104	0	0	0	0
a1535b2d4934f1e2147a983fa4ef303a	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
ba965667ef73e664d2baa3ad1786236e	0	66	0	0	0	0	0	0	0	0	0	23	48	0	0	0
0192ec7637f05d28d018924994d5f008	0	0	0	39	0	0	33	0	33	0	0	0	32	0	0	0
189c2e6b01928a689396640fbfed6951	11	20	0	16	0	0	19	0	26	0	13	13	0	18	0	0
53bb066619edcb1aa2939f5d4eae5575	0	73	0	0	0	0	0	0	0	0	63	0	0	0	0	0
96b7e662ccb78a577d3e81a24bd4989a	26	15	15	20	18	0	0	0	0	10	15	0	0	0	16	0
4f5a4fdaec7eaee53fa328aa954aab65	0	0	0	0	0	0	0	79	0	0	0	0	7	49	0	0
bc61cca64ac0e7b4645b8ffbf5262f55	48	0	9	0	0	0	0	0	0	20	30	0	0	0	9	17
c9d1ac4e54e2e2e191d0607d7d54e8cd	0	92	40	0	0	0	0	0	0	0	0	0	0	0	0	0
37a6c7874bfc3c23e63c134bbb7e6f91	0	21	25	17	0	0	69	0	0	0	0	0	0	0	0	0
f7238879a3802d8a83b26d3b052fda3f	0	0	0	0	0	0	87	45	0	0	0	0	0	0	0	0
