asv,domain,domain_conf,phylum,phylum_conf,class,class_conf,order,order_conf,family,family_conf,genus,genus_conf
9d528a92aebeef305482b571c9c8c977,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,NA,0.16
59573e4780c72db1bdab350408c07504,Bacteria,1,Firmicutes,1,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.98,NA,0.58
8b343b8aeb9272520f5c4f88b885dfc1,Bacteria,1,NA,0.55,NA,0.55,NA,0.55,NA,0.55,NA,0.35
566d1af85c905a750df1dd18e98a3141,Bacteria,1,NA,0.36,NA,0.21,NA,0.2,NA,0.15,NA,0.12
8c3dca8b674935f7a5dd33767cdc7eb9,Bacteria,1,Firmicutes,0.86,NA,0.7,NA,0.7,NA,0.69,NA,0.45
f14843922382e64fb97104806bab4f35,Bacteria,1,NA,0.66,NA,0.62,NA,0.62,NA,0.29,NA,0.29
9997f40ce5cd611bdb086f92ccab14f6,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Butyrivibrio,0.91
7683db633224cca067c477309bc8cc85,Bacteria,1,NA,0.72,NA,0.72,NA,0.72,NA,0.72,NA,0.72
d70689d9795a9c6a459f8f694fbfbae8,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.95,NA,0.56,NA,0.18
01932ea534dc34d52492a3c153db0e2a,Bacteria,1,Firmicutes,0.99,Bacilli,0.95,NA,0.59,NA,0.44,NA,0.42
3a9c9203ab7bf52ddd5d38f556600e7e,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.87,NA,0.55
2579835dd730b748f23378f3250d05c1,Bacteria,1,Firmicutes,1,NA,0.59,NA,0.59,NA,0.58,NA,0.27
012c116659bd92c6c974ab00c42eac18,Bacteria,1,NA,0.14,NA,0.09,NA,0.09,NA,0.09,NA,0.09
4bc3a5095ee23e6588d1938b2c205d26,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,0.99
7006d2537949af253ecb8fc89e31fa51,Bacteria,1,Verrucomicrobia,0.91,Subdivision5,0.81,Subdivision5_genera_incertae_sedis,0.81,Subdivision5_genera_incertae_sedis,0.81,Subdivision5_genera_incertae_sedis,0.81
