"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"SRR5190273_1","10677_0034_idba_bin.198",42,18354,3,"SRR5190273_1.fastq",22574451,"Calf",0.00724057956192157
"ERR3275123_1","10677_0019_idba_bin.218",40,17688,99,"ERR3275123_1.fastq",135618561,"Adult",0.0412702721817933
"ERR3275123_1","10674_0009_idba_bin.117",37,20709,678,"ERR3275123_1.fastq",135618561,"Adult",0.241407875368859
"ERR3275123_1","10676_0049_idba_bin.70",39,19470,861,"ERR3275123_1.fastq",135618561,"Adult",0.326075424256272
"ERR3275123_1","10678_0051_idba_bin.51",43,20247,513,"ERR3275123_1.fastq",135618561,"Adult",0.186826101007282
"ERR3275123_1","10677_0034_idba_bin.198",42,18354,95,"ERR3275123_1.fastq",135618561,"Adult",0.0381657451508647
"ERR3275123_1","10678_0024_idba_bin.135",41,17709,16,"ERR3275123_1.fastq",135618561,"Adult",0.00666203350897019
"ERR3275123_1","10675_0017_idba_bin.63",18,10164,18,"ERR3275123_1.fastq",135618561,"Adult",0.0130583623904612
"ERR3275123_1","10677_0023_idba_bin.13",41,18111,23,"ERR3275123_1.fastq",135618561,"Adult",0.00936410497224794
"ERR3275123_1","10677_0019_idba_bin.37",23,9222,60,"ERR3275123_1.fastq",135618561,"Adult",0.04797411817272
"ERR3275123_1","malmuthuge.128",41,18225,9,"ERR3275123_1.fastq",135618561,"Adult",0.00364129479661583
"ERR3275123_1","Ruminococcaceae_CPB6",41,18129,8,"ERR3275123_1.fastq",135618561,"Adult",0.00325384608666647
"ERR3275123_1","10674_min2k_bin.1792",42,18066,9,"ERR3275123_1.fastq",135618561,"Adult",0.00367334206068436
"ERR3275123_1","10678_min2k_bin.2957",37,16101,23,"ERR3275123_1.fastq",135618561,"Adult",0.0105330914323572
"ERR3275123_1","10677_min2k_bin.4359",27,11229,4,"ERR3275123_1.fastq",135618561,"Adult",0.00262663530613485
